Unnamed: 0,district,roomnum,hall,AREA,C_floor,floor_num,school,subway,per_price
227222003,guangming,3,2,89.0,low,36,0,0,7.191
228428044,guangming,3,2,82.5,low,16,1,0,7.1515
228234820,guangming,3,2,82.5,low,16,1,0,7.1515
228792834,guangming,4,2,88.5,middle,32,1,0,7.1412
227432172,guangming,6,3,258.0,high,1,1,0,7.0543
227430980,guangming,6,3,258.0,high,1,1,0,7.0543
227003230,guangming,4,2,88.6,high,32,1,0,6.9853
228235859,guangming,4,2,86.4,low,16,1,0,6.9444
228965266,guangming,3,2,88.0,middle,28,1,0,6.9318
228776450,guangming,3,2,82.29,high,16,1,0,6.9267
226747129,guangming,4,2,86.8,middle,32,1,0,6.9124
227617687,guangming,3,2,82.29,middle,15,1,0,6.866
228824538,guangming,4,2,105.0,low,34,0,0,6.8571
228497714,guangming,3,2,82.5,low,16,1,0,6.7879
226746975,guangming,4,2,86.8,middle,32,1,0,6.6705
228991804,guangming,6,3,258.0,high,1,1,0,6.6667
226737627,guangming,4,2,86.79,middle,32,1,0,6.6252
227889619,guangming,4,2,86.81,high,17,1,0,6.6237
226543041,guangming,5,3,242.9,high,15,1,0,6.5871
227935981,guangming,3,2,82.4,middle,15,1,0,6.5534
227885873,guangming,3,2,82.4,middle,15,1,0,6.5534
226979329,guangming,4,2,88.51,middle,32,1,0,6.5529
227110396,guangming,4,2,88.7,high,33,1,0,6.5389
228967431,guangming,4,2,88.72,middle,32,1,0,6.5374
228315025,guangming,4,2,88.72,middle,32,1,0,6.5374
228678996,guangming,3,2,89.0,middle,35,0,0,6.5169
226696107,guangming,3,2,89.0,low,33,0,0,6.5169
226606752,guangming,3,2,89.6,high,16,1,0,6.5067
228569284,guangming,4,2,105.0,high,36,0,0,6.4762
228342285,guangming,4,2,88.72,high,32,1,0,6.4247
227483483,guangming,3,2,79.82,high,39,0,0,6.3894
228979828,guangming,3,2,87.7,middle,16,1,0,6.3854
228497752,guangming,3,2,88.19,high,28,1,0,6.3499
228626677,guangming,4,2,104.0,high,34,0,0,6.3462
228839930,guangming,3,2,88.27,high,28,1,0,6.3442
228983095,guangming,4,2,105.0,low,34,0,0,6.3333
228885671,guangming,3,2,79.82,high,40,0,0,6.3267
228506665,guangming,3,2,79.82,high,40,0,0,6.3267
228371496,guangming,1,1,38.0,middle,24,0,0,6.3158
228704509,guangming,4,2,102.56,high,36,0,0,6.2988
228540229,guangming,4,2,87.01,low,32,1,0,6.2981
228825713,guangming,5,2,174.77,middle,15,1,0,6.294
228033074,guangming,5,2,174.77,middle,15,1,0,6.294
227547166,guangming,3,2,89.0,middle,40,0,0,6.2921
227677342,guangming,3,2,89.0,middle,33,0,0,6.2921
228810926,guangming,4,2,88.72,middle,32,1,0,6.2894
228080459,guangming,3,2,79.2,high,31,0,0,6.2879
228930183,guangming,3,2,89.08,high,16,1,0,6.2865
228825568,guangming,5,2,175.0,high,15,1,0,6.2857
227016305,guangming,4,2,105.0,low,34,0,0,6.2857
228903330,guangming,3,2,89.3,low,34,0,0,6.271
228731301,guangming,4,2,88.6,middle,32,1,0,6.2641
228580603,guangming,4,2,87.01,low,32,1,0,6.2636
227935919,guangming,3,2,82.4,middle,16,1,0,6.25
228430344,guangming,4,2,104.0,low,35,0,0,6.25
228094166,guangming,3,2,79.22,high,39,0,0,6.2484
227864778,guangming,3,2,79.22,high,39,0,0,6.2484
227483509,guangming,3,2,79.22,high,31,0,0,6.2484
228884625,guangming,6,2,272.56,high,1,1,0,6.2372
228704550,guangming,3,2,88.36,high,36,0,0,6.2245
228540236,guangming,4,2,83.78,low,32,1,0,6.2067
228769446,guangming,4,2,83.78,low,32,1,0,6.2067
228639636,guangming,4,2,88.72,high,32,1,0,6.1993
228805615,guangming,4,2,88.72,high,32,1,0,6.1993
228967453,guangming,4,2,88.72,high,32,1,0,6.1993
228497740,guangming,3,2,82.4,middle,15,1,0,6.1893
228937484,guangming,3,2,82.4,middle,15,1,0,6.1893
228470607,guangming,3,2,82.4,middle,15,1,0,6.1893
228303888,guangming,3,2,82.5,middle,15,1,0,6.1818
228990959,guangming,3,2,89.0,middle,34,0,0,6.1798
228045453,guangming,5,2,175.0,middle,15,1,0,6.1714
228742118,guangming,2,2,64.7,high,14,1,0,6.1669
227722832,guangming,3,2,81.13,low,33,0,0,6.1629
227216399,guangming,3,2,81.13,low,33,0,0,6.1629
227941154,guangming,3,2,89.5,middle,28,1,0,6.1453
227941503,guangming,3,2,89.5,middle,32,1,0,6.1453
228984966,guangming,4,2,106.0,middle,31,0,0,6.1321
228929218,guangming,3,2,77.53,low,40,1,0,6.1267
228470548,guangming,3,2,77.6,low,40,1,0,6.1211
228328527,guangming,4,2,98.08,low,33,0,0,6.1175
228121140,guangming,4,2,86.8,high,16,1,0,6.106
228601319,guangming,3,2,95.0,middle,39,0,0,6.1053
228975133,guangming,3,2,95.0,middle,39,0,0,6.1053
228704527,guangming,3,2,89.32,low,34,0,0,6.1017
227965610,guangming,4,2,103.0,low,35,0,0,6.0971
